[17:49:13] New map: gm_flatgrass
[17:50:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_silo
[17:50:05] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_water_tank
[17:50:08] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_outpost_point
[17:50:11] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melonium
[17:50:12] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_melonium_mine
[17:50:13] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_elevator_neutral
[17:50:14] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_doot_fountain
[17:50:16] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_death_floor
[17:50:17] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_cap_point
[17:50:20] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_outpost_point
[17:50:23] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_outpost_point
[17:50:25] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_melon_outpost_point
[17:51:03] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube4x4x4.mdl
